sample_ID,sample_name,classification
Sample_0607,Itasca-C12,NA
Sample_0615,Itasca-C12,NA
Sample_0616,Itasca-C12,NA
Sample_0617,Itasca-C12,NA
Sample_0618,Itasca-C12,NA
Sample_0619,Itasca-C12,NA
Sample_0626,Itasca-C12,NA
Sample_0627,Itasca-C12,NA
Sample_0628,Itasca-C12,NA
Sample_0629,Itasca-C12,NA
Sample_0630,Itasca-C12,NA
Sample_0955,Itasca-C12,NA
